NaN
null 0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  
salsa 0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  
salsa 0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  
0.007587253414264037
bing 1.000000   0.800000   0.400000   0.200000   0.800000   0.800000   0.333333   0.800000   0.533333   0.000000   0.000000   1.000000   0.000000   1.000000   0.000000   1.000000   0.000000   0.166667   0.000000   0.007587   0.840000   1.000000   0.929676   0.917125   1.000000  
0.007587253414264037
bing 1.000000   0.800000   0.400000   0.200000   0.800000   0.800000   0.333333   0.800000   0.533333   0.000000   0.000000   1.000000   0.000000   1.000000   0.000000   1.000000   0.000000   0.166667   0.000000   0.007587   0.840000   1.000000   0.929676   0.917125   1.000000  
0.007587253414264037
bing 1.000000   0.800000   0.400000   0.200000   0.800000   0.800000   0.333333   0.800000   0.533333   0.000000   0.000000   1.000000   0.000000   1.000000   0.000000   1.000000   0.000000   0.166667   0.000000   0.007587   0.840000   1.000000   0.929676   0.917125   1.000000  
salsa/t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  
salsa	0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  /t0.000000  
salsa	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  
salsa	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  
salsa	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  
salsa	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  
NaN
null	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  
salsa	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  
salsa	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  
salsa	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  
salsa	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  
salsa	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  
salsa	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  
salsa	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  
eesalsa	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  
ee
salsa	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  
salsa	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  
0.0
salsa	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  
0.0
salsa	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  	0.000000  
